id,type,name,technology,category
333,terraform.resource,azurerm_storage_account_network_rules,"",""
334,terraform.resource,datadog_integration_azure,"",""
335,terraform.resource,datadog_rum_application,"",""
336,githubAction,actions/setup-python,"",""
337,terraform,registry.terraform.io/hashicorp/azuread,"",""
338,github-action,actions/setup-python,,
339,python,mkdocs,"",""
340,python,mkdocs-material,"",""
341,github-action,docker/build-push-action,,
342,github-action,docker/setup-buildx-action,,
343,github-action,github/super-linter/slim,,
344,terraform.resource,azurerm_redis_cache,"",""
345,githubAction,aquasecurity/tfsec-sarif-action,"",""
346,githubAction,github/codeql-action/upload-sarif,"",""
347,github-action,aquasecurity/tfsec-sarif-action,,
348,github-action,github/codeql-action/upload-sarif,,
349,githubAction,docker/setup-qemu-action,"",""
350,githubAction,docker/setup-buildx-action,"",""
351,githubAction,sigstore/cosign-installer,"",""
352,githubAction,docker/login-action,"",""
353,githubAction,docker/build-push-action,"",""
354,github-action-workflow,./.github/workflows/pathfinder-build-sign-push.yml,,
355,github-action-workflow,./.github/workflows/pathfinder-codeql-analyze.yml,,
356,github-action-workflow,./.github/workflows/pathfinder-dependency-scan.yml,,
357,github-action-workflow,./.github/workflows/pathfinder-snow-close-cr.yml,,
358,github-action-workflow,./.github/workflows/pathfinder-snow-create-cr.yml,,
359,github-action-workflow,./.github/workflows/pathfinder-trivy-scan.yml,,
360,github-action,actions/dependency-review-action,,
361,github-action,aquasecurity/trivy-action,,
362,github-action,docker/login-action,,
363,github-action,docker/setup-qemu-action,,
364,github-action,getsentry/action-github-app-token,,
365,github-action,github/codeql-action/analyze,,
366,github-action,github/codeql-action/autobuild,,
367,github-action,github/codeql-action/init,,
368,github-action,mikefarah/yq,,
369,github-action,sigstore/cosign-installer,,
370,githubAction,actions/upload-artifact,"",""
371,githubAction,./oneshot,"",""
372,github-action,./oneshot,,
373,github-action,actions/upload-artifact,,
374,terraform,registry.terraform.io/hashicorp/helm,"",""
375,terraform,registry.terraform.io/hashicorp/local,"",""
376,terraform,registry.terraform.io/hashicorp/null,"",""
377,terraform,registry.terraform.io/spacelift-io/spacelift,"",""
378,githubAction,actions/download-artifact,"",""
379,github-action,actions/download-artifact,,
380,githubAction,actions/setup-dotnet,"",""
381,github-action,actions/setup-dotnet,,
382,python,psycopg2-binary,"",""
383,python,python-dotenv,"",""
384,python,hvac,"",""
385,python,pyyaml,"",""
386,python,jinja2,"",""
387,python,pydantic,"",""
388,python,validators,"",""
389,githubAction,zricethezav/gitleaks-action,"",""
390,github-action,zricethezav/gitleaks-action,,
391,npm,@actions/core,"",""
392,npm,@actions/github,"",""
393,npm,@types/jest,"",""
394,npm,@types/node,"",""
395,npm,@typescript-eslint/parser,"",""
396,npm,@vercel/ncc,"",""
397,npm,eslint,eslint,linter
398,npm,eslint-plugin-github,"",""
399,npm,eslint-plugin-jest,"",""
400,npm,jest,jest,test
401,npm,jest-circus,"",""
402,npm,js-yaml,"",""
403,npm,prettier,prettier,linter
404,npm,ts-jest,"",""
405,npm,typescript,typescript,language
406,githubAction,actions/setup-node,"",""
407,githubAction,./,"",""
408,githubAction,peter-evans/create-pull-request,"",""
409,github-action,./,,
410,npm,@actions/http-client,"",""
411,npm,@octokit/auth-token,,
412,npm,@octokit/core,github,saas
413,npm,@octokit/endpoint,,
414,npm,@octokit/graphql,github,saas
415,npm,@octokit/plugin-paginate-rest,github,saas
416,npm,@octokit/plugin-rest-endpoint-methods,github,saas
417,npm,@octokit/request,github,saas
418,npm,@octokit/request-error,github,saas
419,npm,@octokit/types,github,saas
420,github-action,actions/setup-node,,
421,npm,before-after-hook,,
422,npm,cross-spawn,"",""
423,npm,deprecation,,
424,npm,end-of-stream,"",""
425,npm,execa,"",""
426,npm,get-stream,"",""
427,npm,is-plain-object,"",""
428,npm,is-stream,"",""
429,npm,isexe,"",""
430,npm,macos-release,,
